ward_id,ward_name,area_sq_km,centroid_lat,centroid_lon,data_source,snapshot_date,license,population_estimate_2020,population_density_per_sq_km,population_score,population_density_score,exposure_score,population_raster_valid_pixels,population_year,population_source,population_license,population_method
241,DILSHAD GARDEN,2.1506,28.68495,77.309062,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0,108201,50312.01,63.43,86.23,77.11,216,2020,https://hub.worldpop.org/geodata/summary?id=41746,CC-BY-4.0,WorldPop 1km density reprojected to 100m; density integrated over ward area
242,NEW SEEMA PURI,0.964,28.688394,77.324278,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0,44258,45910.79,20.66,77.81,54.95,91,2020,https://hub.worldpop.org/geodata/summary?id=41746,CC-BY-4.0,WorldPop 1km density reprojected to 100m; density integrated over ward area
243,NAND NAGRI,0.618,28.694481,77.306285,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0,34381,55632.69,14.06,96.42,63.48,64,2020,https://hub.worldpop.org/geodata/summary?id=41746,CC-BY-4.0,WorldPop 1km density reprojected to 100m; density integrated over ward area
244,SUNDER NAGARI,1.0539,28.695209,77.317331,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0,44035,41782.9,20.51,69.9,50.14,96,2020,https://hub.worldpop.org/geodata/summary?id=41746,CC-BY-4.0,WorldPop 1km density reprojected to 100m; density integrated over ward area
245,DURGA PURI,0.9133,28.688242,77.298269,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0,47813,52351.91,23.04,90.14,63.3,86,2020,https://hub.worldpop.org/geodata/summary?id=41746,CC-BY-4.0,WorldPop 1km density reprojected to 100m; density integrated over ward area
246,ASHOK NAGAR,0.94,28.69584,77.296403,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0,60768,64646.81,31.71,100.0,72.68,95,2020,https://hub.worldpop.org/geodata/summary?id=41746,CC-BY-4.0,WorldPop 1km density reprojected to 100m; density integrated over ward area
247,RAM NAGAR,1.6398,28.677745,77.292433,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0,80031,48805.34,44.59,83.35,67.85,163,2020,https://hub.worldpop.org/geodata/summary?id=41746,CC-BY-4.0,WorldPop 1km density reprojected to 100m; density integrated over ward area
248,WELCOME COLONY,1.2073,28.677559,77.280122,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0,64216,53189.76,34.01,91.74,68.65,123,2020,https://hub.worldpop.org/geodata/summary?id=41746,CC-BY-4.0,WorldPop 1km density reprojected to 100m; density integrated over ward area
249,CHAUHAN BANGER,0.5875,28.681411,77.270858,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0,31858,54226.38,12.37,93.73,61.19,58,2020,https://hub.worldpop.org/geodata/summary?id=41746,CC-BY-4.0,WorldPop 1km density reprojected to 100m; density integrated over ward area
25,POOTH KALAN,8.4683,28.71812,77.075138,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0,179997,21255.39,100.0,30.61,58.37,849,2020,https://hub.worldpop.org/geodata/summary?id=41746,CC-BY-4.0,WorldPop 1km density reprojected to 100m; density integrated over ward area
250,ZAFFRABAD,0.4046,28.674535,77.266665,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0,26285,64965.4,8.64,100.0,63.46,41,2020,https://hub.worldpop.org/geodata/summary?id=41746,CC-BY-4.0,WorldPop 1km density reprojected to 100m; density integrated over ward area
251,NEW USMANPUR,1.9523,28.678598,77.258412,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0,96722,49542.59,55.76,84.76,73.16,198,2020,https://hub.worldpop.org/geodata/summary?id=41746,CC-BY-4.0,WorldPop 1km density reprojected to 100m; density integrated over ward area
252,MAUJPUR,0.753,28.689573,77.274922,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0,38691,51382.47,16.94,88.28,59.74,76,2020,https://hub.worldpop.org/geodata/summary?id=41746,CC-BY-4.0,WorldPop 1km density reprojected to 100m; density integrated over ward area
